identifier,uploadLimit,authorizedFormOfName,contactPerson,streetAddress,telephone,email,fax,website,geoculturalContext,internalStructures,collectingPolicies,holdings,findingAids,openingTimes,accessConditions,disabledAccess,researchServices,reproductionServices,publicFacilities,maintenanceNote,descInstitutionIdentifier,descRevisionHistory,descSources,culture
daa/29,0,Australian Broadcasting Corporation (ABC) Document Archives,Document Archivist,"ABC TV Studios, 221 Pacific Highway, Gore Hill 2065

Postal address:
GPO Box 9994, Sydney 2001",(02) 9950-3203,,(02) 9950-3369,http://www.abc.net.au/,,Officer in charge: Document Archivist,"Documents (including photographs and publications) produced since the foundation of the Australian Broadcasting Commission in 1932, reflecting its activities in radio and television broadcasting and concert giving. Most ABC material has been accessioned by Australian Archives; the collection retained by ABC Document Archives is of material which has the greatest continuing in-house use.","Australian Broadcasting Corporation - various departments: Photographs 1932- (70m); Publications (including ABC Weekly, TV Times, 24 Hours) 1939-(35m); Minutes of the Commission 1932- ; Annual reports 1933-; Radio Active, later Scan, (house journals) 1947-1990. Radio Drama and Features: Scripts 1936- . Talks: Scripts 1937- . Television -various departments: Production files and scripts 1956-. ABC Concerts: Concert programs 1933- .

Quantity: 400m (95% in-house).",,"Open Mon-Fri by appointment; closed public holidays and Christmas - New Year period. General reference assistance available. Copying services available for books, journals, original records to A3, microfilms and photographs.",Minimum age 18 years. Researchers should have exhausted secondary sources. Two weeks' advance notice of visit required and topic of research should be stated. Closed period of 30 years applies to most records (provisions of the Archives Act 1983 apply). Access to records not normally available for research can be gained by clearance through ABC Document Archives.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/30,0,Australian Broadcasting Corporation (ABC) Radio Archives,Administration Assistant,"700 Harris Street, Ultimo 2007

Postal address:
GPO Box 9994, Sydney 2001",(02) 9333-2527,,(02) 9333-2525,http://www.abc.net.au/,,Officer in charge: Archivist (Radio),Radio Archives seeks to maintain a collection of sound recordings of cultural and historical significance. The Australian Broadcasting Corporation is bound by the Archives Act of 1983 to retain its broadcasting output in accordance with authorised schedules for retention. The collection includes oral histories of broadcasters.,"Australian Broadcasting Corporation: Sound recordings of ABC programs: 1932-(1,000m).

Quantity: 1,000m (50% in-house).",,Open by appointment only. General reference service and/or assistance available.,"One week's advance notice of visit required and details of the exact nature of research required. Reference services not generally available to the public without payment of a research, copying and royalty fee (if applicable). Research either performed entirely by staff and charged at an hourly rate or a day ticket is also available (including staff assistance).",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/31,0,Australian Broadcasting Corporation (ABC) Television Archives,HD Film/Tape Holdings,"Pacific Highway, Gore Hill 2065

Postal address:
GPO Box 9994, Sydney 2001",(02) 9950-4076,,(02) 9950-4885,http://www.abc.net.au/,,Officer in charge: Archivist (Television),ABC Television Output.,,,"Open Mon-Fri 9am-5pm; closed public holidays. General reference assistance. Copying services available for photographs, films and tapes. Viewing facilities of film programs available. Referral to paid researchers is available. Introductory brochure available. Copies of programmes may be made available for sale.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/330,0,Australian Catholic University - Mercy Campus,Secretary to the Director,"251 Mt Alexander Road, Ascot Vale 3032

Postal address:
As above",(03) 9373-3400,,(03) 9373-3595,,,Officer in charge: Campus Director,History of establishment and development of the Campus.,"Mercy Teachers' College: Student records 1912- (6m). Congregation of the Sisters of Mercy, Victoria and Tasmania: Letters, Minutes 1912- (8m). Archdiocese of Melbourne: Letters, Minutes. Victorian Council of Education: Letters.

Quantity: 16m",,Open Mon-Fri 9am-5pm by appointment; closed Dec 23 -Jan 2. General reference assistance available. No copying services available.,Advance notice of visit required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/32,0,"Australian Catholic University, Castle Hill Campus",Archivist,"Old Northern Road, Castle Hill 2154

Postal address:
As above",(02) 9899-8000,,(02) 9899-8005,,,Officer in charge: Archivist,"Materials relating to the academic and social life of the former Colleges, now the University.",,,Open University working days.,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/331,0,Australian Conservation Foundation,Librarian,"340 Gore Street, Fitzroy 3065

Postal address:
As above",(03) 9416-1166 / 9416-1455,,(03) 9416-0767,,,Officer in charge: Librarian,Conservation issues and history of Australian Conservation Foundation.,Quantity: 150m. (80% in-house),,Open Mon-Fri 10am-5pm. $1.00 library fee plus photocopying charges; telephone requests/mail out $5.00.,"Public, tertiary and secondary school students; correspondence dated 1960-1980 held at ANU.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/33,0,Australian Consumers' Association (CHOICE),"Manager, Information Resource Centre","57 Carrington Road, Marrickville 2204

Postal address:
As above",(02) 9558-0099,,(02) 9558-9341,http://www.choice.com.au/,,"Officer in charge: Manager, Information Resource Centre",ACA's archives document the activities of this organisation ie. dispensing consumer information whether by publication or by public advocacy.,"Australian Consumers' Association Project material 1959- (7m)

Quantity: 20m (98% in-house).",,"Open by appointment; closed public holidays. General reference assistance available. Copying services available for books, journals and original records to A3.",One week's advance notice of visit required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/332,0,Australian Council for Educational Research,Library and Information Manager,"19 Prospect Hill Road, Camberwell 3124

Postal address:
Private Bag 55, Camberwell 3124",(03) 9277-5555,,(03) 9277-5500,http://www.acer.edu.au,,Officer in charge: Library and Information Manager,Administrative and research records of the Australian Council for Educational Research 1930 onwards.,Quantity: 155m (100% in-house),,"Open by appointment; closed Saturdays, Sun days and public holidays. General reference assistance available. Copying services for books, journals and original records to A3 at cost.",7 days' advance notice of visit required. Proof of identity and reasons for research required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/180,0,Australian Country Music Foundation,"Dee Giles, secretary@acmf.org.au","93 Brisbane Street, Tamworth, NSW

Postal address:
PO Box 1842, Tamworth, NSW 2340",(02) 6766-9696,info@acmf.org.au,(02) 6766-918,http://www.acmf.org.au,,Officer in charge: Bob Kirchner (President),Information/material relating to Australian country music.,Quantity: Subject to discussion/negotiation.,,Open to the public Mon-Sat.10am-2pm,All weather; wheelchair.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/575,0,Australian Credit Union Archives,enquiries@mycuhistory.com.au,"59 Buckingham Street, SURRY HILLS NSW 2010

Postal address:
PO Box 1985, STRAWBERRY HILLS NSW 2012",(02) 9319 2850,enquiries@mycuhistory.com.au,(02) 9319 2849,www.mycuhistory.com.au,,"Officer in charge: Lyn Milton, Archivist","The collection contains the administrative records of organisations within the credit union industry, the archival records individual credit unions, and personal papers of some prominent individuals in the credit union movement.","Any or all of these records many be held for any credit union – Board and Committee Minutes; correspondence; newsletters; annual reports; publications; histories; photographs of events and personalities.

Quantity: 500m

References: McNamara, T ‘Working together – the challenge for professional and not-for-profit organisations’. Australian Society of Archivists Inc Conference 2005","Collection database available in-house.  Printed lists of histories of individual credit unions and of annual reports held in the collection, both published in 2004 are available on request [Although substantial quantities have been added to our collection since these were published.].","10am – 4pm Tuesday – Thursday.  Photocopying, scanning, video; microfilm reader; facilities for using laptop computers;  researcher photography available for appropriate records",Readers are requested to make an appointment,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/8,0,Australian Dictionary of Biography,Biographical Registrar,"Coombs Building, Fellows Road, Acton 2601

Postal address:
Australian Dictionary of Biography, Research School of Social Sciences, Australian National University, Canberra ACT 0200",(02) 6249-2676 / 6249-3689,adb@coombs.anu.edu.au,(02) 6257-1893,http://adb.anu.edu.au/,,Officer in charge: General Editor,Biographical research on prominent and representative Australians.,"Computer database containing references relating to over 20,000 individuals. Biographical card index consisting of an estimated 300,000 entries. Files relating to subjects appearing in the ADB, as well as those considered for inclusion. Obituaries of those who died in the period 1981 to the present.

Quantity: 220m (100% in-house).",,"Open Mon-Fri 9am-4:30pm. General reference assistance available. Copying services for books, journals, original records to A3 and newspapers. Referral to paid researchers is available.",Advance notice of visit advisable. Researchers must sign the copyright/access agreement.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/260,0,Australian Electric Transport Museum (SA) Inc,Archivist,"St Kilda Road, St Kilda, South Australia, 5110

Postal address:
PO Box 213, Salisbury, South Australia, 5108",(08) 8280-8188,,(08) 8280-8528,http://www.trammuseumadelaide.com.au,,Officer in charge: President,"Material associated with urban public transport in Adelaide, South Australia, particularly street transport (horse trams and buses, private and state operated motor-buses) -primary emphasis is on the electric tramway system.","Municipal Tramways Trust: Annual reports, special reports 1908-1974 (2m); Newspaper cutting books 1908-1931 (discontinuous; 1m); Tram and bus timetables 1925-1974 (2m); Plans and drawings 1908-1955 (2m). 
	State Transport Authority 1974- (2m). 
	Australian Electric Transport Museum: Assembled library of tramway, technical and electrical texts 1900-1950 (2m).

Quantity: 20m (90% in-house), purpose built Archives Room",,"Open public holidays and Sundays (and Wednesday during South Australian School Holidays) 12 noon-5pm; other times by appointment. Closed Good Friday, Christmas Day. Assistance on a limited basis by mail and telephone.","Advance notice preferred, with details of specific interest. Proof of identity required.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
